Disease,Medication
Fungal infection,"['Clotrimazole: Apply 1% cream to the affected area twice daily', 'Fluconazole150 mg orally once weekly', 'Ketoconazole: Apply 2% cream once daily', 'Itraconazole: 200 mg orally once daily', 'Terbinafine: 250 mg orally once daily']"
Allergy,"['Cetirizine: 10 mg orally once daily', 'Loratadine: 10 mg orally once daily', 'Fexofenadine: 180 mg orally once daily', 'Diphenhydramine: 25-50 mg orally every 4-6 hours as needed', 'Chlorpheniramine: 4 mg orally every 4-6 hours as needed']"
GERD,"['Omeprazole: 20 mg orally once daily before a meal', 'Pantoprazole: 40 mg orally once daily', 'Esomeprazole: 20 mg orally once daily', 'Lansoprazole: 15 mg orally once daily before breakfast', 'Rabeprazole: 20 mg orally once daily']"
Chronic cholestasis,"['Ursodeoxycholic Acid: 13-15 mg/day orally in 2-4 divided doses', 'Cholestyramine: 4 g orally once or twice daily before meals', 'Rifampicin: 300 mg orally once daily', 'Phenobarbital: 30-120 mg orally at bedtime', 'Vitamin K: 10 mg orally once daily as needed']"
Drug Reaction,"['Prednisone: 20-60 mg orally once daily, tapering as directed', 'Diphenhydramine: 25-50 mg orally every 4-6 hours as needed', 'Hydroxyzine: 25-100 mg orally up to four times daily', 'Cetirizine: 10 mg orally once daily', 'Methylprednisolone: 4-48 mg orally once daily, tapering as directed']"
Peptic ulcer disease,"['Omeprazole: 20 mg orally once daily before a meal', 'Lansoprazole: 15 mg orally once daily before breakfast', 'Ranitidine: 150 mg orally twice daily or 300 mg once daily at bedtime', 'Sucralfate: 1 g orally four times daily, 1 hour before meals and at bedtime', 'Amoxicillin: 1 g orally twice daily for 7-14 days (as part of combination therapy']"
AIDS,"['Zidovudine (AZT): 300 mg orally twice daily', 'Lamivudine (3TC): 150 mg orally twice daily or 300 mg once daily', 'Efavirenz (EFV): 600 mg orally once daily at bedtime', 'Tenofovir (TDF): 300 mg orally once daily', 'Emtricitabine (FTC): 200 mg orally once daily']"
Diabetes,"['Metformin: 500 mg orally twice daily with meals; may increase to 2,000-2,500 mg/day', 'Glibenclamide (Glyburide): 2.5-5 mg orally once daily with breakfast; maximum 20 mg/day', 'Glimepiride: 1-2 mg orally once daily with breakfast; maximum 8 mg/day', 'Pioglitazone: 15-30 mg orally once daily; maximum 45 mg/day', 'Sitagliptin: 100 mg orally once daily']"
Gastroenteritis,"['Oral Rehydration Salts (ORS): Administer as needed to prevent dehydratio', 'Loperamide: 4 mg orally initially, then 2 mg after each loose stool; maximum 16 mg/day', 'Ciprofloxacin: 500 mg orally twice daily for 3-5 days', 'Metronidazole: 500 mg orally twice daily for 5-7 days', 'Azithromycin: 500 mg orally once daily for 3 days']"
Bronchial Asthma,"['Salbutamol (Albuterol): Inhale 100-200 mcg (1-2 puffs) every 4-6 hours as needed', 'Budesonide: Inhale 200-400 mcg twice daily', 'Montelukast: 10 mg orally once daily in the evening', 'Theophylline: 200-400 mg orally once daily at bedtime', 'Ipratropium: Inhale 20-40 mcg (1-2 puffs) four times daily']"
Hypertension,"['Amlodipine: 5 mg orally once daily; may increase to 10 mg daily', 'Lisinopril: 10 mg orally once daily; may increase to 40 mg daily', 'Losartan: 50 mg orally once daily; may increase to 100 mg daily', 'Hydrochlorothiazide: 25 mg orally once daily; may increase to 50 mg daily', 'Metoprolol: 50 mg orally twice daily; may increase to 100-200 mg daily']"
Migraine,"['Sumatriptan: 50-100 mg orally at onset; may repeat after 2 hours; maximum 200 mg/day', 'Rizatriptan: 5-10 mg orally at onset; may repeat after 2 hours; maximum 30 mg/day', 'Propranolol: 40 mg orally twice daily; may increase to 240 mg/day', 'Topiramate: 25 mg orally once daily; may increase to 100 mg/day', 'Amitriptyline: 10-25 mg orally at bedtime; may increase to 150 mg/day']"
Cervical spondylosis,"['Ibuprofen: 400 mg orally every 4-6 hours as needed; maximum 3,200 mg/week', 'Naproxen: 250-500 mg orally twice daily', 'Cyclobenzaprine: 5-10 mg orally three times daily', 'Gabapentin: 300 mg orally once daily; may increase to 1,800', 'Corticosteroids: 150 mg once daily']"
Paralysis (brain hemorrhage),"['Labetalol: 10-20 mg IV over 2 minutes, may repeat or double every 10 minutes as needed (for blood pressure control).', 'Nicardipine: 5 mg/hour IV infusion, titrate by 2.5 mg/hour every 5 minutes to a maximum of 15 mg/hour (for blood pressure control)', 'Phenytoin: 15-20 mg/kg IV loading dose, then 100 mg orally three times daily (for seizure prophylaxis)', 'Mannitol: 0.25-1 g/kg IV over 20 minutes, may repeat every 6-8 hours as needed (to reduce intracranial pressure)', 'Nimodipine: 60 mg orally every 4 hours for 21 days (to prevent cerebral vasos)']"
Jaundice,"['Ursodeoxycholic Acid: 13-15 mg/kg/day orally in 2-4 divided doses', 'Cholestyramine: 4 g orally once or twice daily before meals', 'Vitamin K: 10 mg orally once daily as needed', 'Rifampicin: 300 mg orally once daily', 'Phenobarbital: 30-120 mg orally at bedtime']"
Malaria,"['Chloroquine: 600 mg base (1,000 mg salt) orally initially, then 300 mg base (500 mg salt) at 6, 24, and 48 hours', 'Artemether-Lumefantrine: 20 mg/120 mg per tablet; 4 tablets orally initially, then at 8, 24, 36, 48, and 60 hours', 'Quinine Sulfate: 650 mg orally every 8 hours for 3-7 days', 'Doxycycline: 100 mg orally twice daily for 7 days (used in combination with quinine)', 'Primaquine: 30 mg base (52.6 mg salt) orally once daily for 14 days (for P. vivax or P. ovale)']"
Chicken pox,"['Acyclovir: 800 mg orally five times daily for 5-7 days', 'Famciclovir: 500 mg orally three times daily for 5-7 days', 'Valacyclovir: 1,000 mg orally three times daily for 5-7 days', 'Paracetamol (Acetaminophen): 500-1,000 mg orally every 6 hours as needed for fever; maximum 4,000 mg/day', 'Diphenhydramine: 25-50 mg orally every 6-8 hours as needed for itching']"
Dengue,"['Paracetamol (Acetaminophen): 500-1,000 mg orally every 6 hours as needed for fever; maximum 4,000 mg/day', 'Oral Rehydration Salts (ORS): Administer as needed to prevent dehydration', 'Ringer's Lactate Solution: Administer intravenously as needed for fluid replacement', 'Platelet Transfusion: Administer as needed for severe thrombocytopenia', 'Vitamin C: 500 mg orally twice daily']"
Typhoid,"['Ciprofloxacin: 500 mg orally twice daily for 7-14 days', 'Azithromycin: 1,000 mg orally once, then 500 mg daily for 6 days', 'Ceftriaxone: 2 g intravenously once daily for 10-14 days', 'Chloramphenicol: 500 mg orally four times daily for 14 days', 'Amoxicillin: 1 g orally three times daily for 14 days']"
hepatitis A,"['Supportive Care: Rest and hydration; no specific antiviral treatment', 'Paracetamol (Acetaminophen): 500-1,000 mg orally every 6 hours as needed for pain or fever; maximum 4,000 mg/day', 'Ondansetron: 4-8 mg orally every 8 hours as needed for nausea', 'Vitamin B Complex: One tablet orally daily', Silymarin: 140 mg orally three times daily']"
Hepatitis B,"['Entecavir: 0.5 mg orally once daily', 'Tenofovir Disoproxil Fumarate: 300 mg orally once daily', 'Peginterferon Alfa-2a: 180 mcg subcutaneously once weekly for 48 week', 'Lamivudine: 100 mg orally once daily', 'Adefovir Dipivoxil: 10 mg orally once daily']"
Hepatitis C,"['Ribavirin: 1,000-1,200 mg orally daily in divided doses for 12 weeks (in combination with other antivirals)', 'Daclatasvir: 60 mg orally once daily for 12 weeks (in combination with sofosbuvir)', 'Sofosbuvir-Velpatasvir: 400 mg/100 mg orally once daily for 12 weeks', 'Glecaprevir-Pibrentasvir: 300 mg/120 mg orally once daily for 8 weeks', 'Sofosbuvir-Ledipasvir: 400 mg/90 mg orally once daily for 12 weeks']"
Hepatitis D,"['Peginterferon Alfa-2a: 180 mcg subcutaneously once weekly for 48 weeks', 'Peginterferon Alfa-2b: 1.5 mcg/kg subcutaneously once weekly for 48 week', 'Tenofovir Disoproxil Fumarate: 300 mg orally once daily', 'Entecavir: 0.5 mg orally once daily', 'Lamivudine: 100 mg orally once daily']"
Hepatitis E,"['Supportive Care: Rest and hydration; no specific antiviral treatment', 'Ribavirin: 600-1,200 mg orally daily in divided doses for 3 months (for chronic cases)', 'Paracetamol (Acetaminophen): 500-1,000 mg orally every 6 hours as needed for pain or fever; maximum 4,000 mg/day
', 'Ondansetron: 4-8 mg orally every 8 hours as needed for nausea', 'Vitamin B Complex: One tablet orally daily']"
Alcoholic hepatitis,"['Prednisolone: 40 mg orally once daily for 4 weeks, followed by tapering', 'Pentoxifylline: 400 mg orally three times daily', 'Vitamin B Complex: One tablet orally daily', 'Thiamine (Vitamin B1): 100 mg orally once daily', 'Folic Acid: 1 mg orally once daily']"
Tuberculosis,"['Isoniazid: 5 mg/kg (maximum 300 mg) orally once daily', 'Rifampicin: 10 mg/kg (maximum 600 mg) orally once daily', 'Pyrazinamide: 15-30 mg/kg (maximum 2,000 mg) orally once daily', 'Ethambutol: 15-25 mg/kg (maximum 1,600 mg) orally once daily', 'Streptomycin: 15 mg/kg (maximum 1 g) intramuscularly once daily']"
Common Cold,"['Paracetamol (Acetaminophen): 500-1,000 mg orally every 6 hours as needed; maximum 4,000 mg/day', 'Ibuprofen: 200-400 mg orally every 6-8 hours as needed; maximum 1,200 mg/day', 'Pseudoephedrine: 60 mg orally every 4-6 hours as needed; maximum 240 mg/day', 'Diphenhydramine: 25-50 mg orally every 6-8 hours as needed', 'Guaifenesin: 200-400 mg orally every 4 hours as needed; maximum 2,400 mg/day']"
Pneumonia,"['Amoxicillin: 500 mg orally every 8 hours or 875 mg every 12 hours for 7-10 da', 'Azithromycin: 500 mg orally on day 1, then 250 mg once daily on days 2-5', 'Doxycycline: 100 mg orally twice daily for 7-10 days', 'Levofloxacin: 750 mg orally once daily for 5 days', 'Ceftriaxone: 1-2 g intravenously once daily']"
Dimorphic hemmorhoids(piles),"['Diosmin: 500 mg orally twice daily', 'Lidocaine (Lignocaine) Gel: Apply topically as needed for pain relief', 'Hydrocortisone Cream: Apply topically 2-3 times daily', 'Witch Hazel Pads: Apply topically after bowel movements', 'Psyllium Husk: 3.4 g orally once daily with water']"
Heart attack,"['Aspirin: 160-325 mg orally once, then 75-100 mg once daily', 'Clopidogrel: 300-600 mg orally once, then 75 mg once daily', 'Metoprolol: 25-50 mg orally every 6-12 hours as needed; maximum 200 mg/day', 'Atorvastatin: 80 mg orally once daily', 'Nitroglycerin: 0.3-0.6 mg sublingually every 5 minutes as needed; maximum 3 doses in 15 minutes']"
Varicose veins,"['Diosmin: 500 mg orally twice daily', 'Horse Chestnut Seed Extract: 300 mg orally twice daily', 'Rutosides: 500 mg orally twice daily', 'Pentoxifylline: 400 mg orally three times daily', 'Compression Stockings: Worn daily as recommended']"
Hypothyroidism,"['Levothyroxine: 1.6 mcg/kg orally once daily; adjust based on TSH levels', 'Liothyronine: 25 mcg orally once daily; adjust as needed', 'Desiccated Thyroid Extract: 30 mg orally once daily; adjust as needed', 'Selenium: 200 mcg orally once daily', 'Vitamin D3: 1,000-2,000 IU orally once daily']"
Hyperthyroidism,"['Methimazole: 15-30 mg orally once daily', 'Propylthiouracil (PTU): 100-150 mg orally three times daily', 'Propranolol: 10-40 mg orally every 6 hours as needed', 'Potassium Iodide: 50 mg orally three times daily', 'Radioactive Iodine (I-131): Dose based on individual assessment']"
Hypoglycemia,"['Glucose Tablets: 15-20 grams orally as needed', 'Dextrose Gel: 15 grams orally as needed', 'Glucagon Injection: 1 mg intramuscularly or subcutaneously as needed', 'Octreotide: 50-100 mcg subcutaneously every 6-12 hours as needed', 'Diazoxide: 3-8 mg/kg/day orally in divided doses']"
Osteoarthristis,"['Paracetamol (Acetaminophen): 500-1,000 mg orally every 6 hours as needed; maximum 4,000 mg/day', 'Ibuprofen: 200-400 mg orally every 6-8 hours as needed; maximum 1,200 mg/day', 'Naproxen: 250-500 mg orally every 12 hours as needed; maximum 1,000 mg/day', 'Diclofenac: 50 mg orally every 8 hours as needed; maximum 150 mg/day', 'Glucosamine Sulfate: 1,500 mg orally once daily']"
Arthritis,"['Methotrexate: 7.5-25 mg orally once weekly', 'Sulfasalazine: 500 mg orally twice daily; may increase to 1,000 mg twice daily', 'Hydroxychloroquine: 200-400 mg orally once daily', 'Leflunomide: 100 mg orally once daily for 3 days, then 20 mg once daily', 'Etanercept: 50 mg subcutaneously once weekly']"
(vertigo) Paroymsal Positional Vertigo,"['Betahistine: 16 mg orally three times daily', 'Meclizine: 25-50 mg orally every 6 hours as needed', 'Diazepam: 2-5 mg orally every 8 hours as needed', 'Prochlorperazine: 5-10 mg orally every 6-8 hours as needed', 'Epley Maneuver: Performed as needed under guidance']"
Acne,"['Benzoyl Peroxide: Apply topically once daily', 'Clindamycin Topical: Apply twice daily', 'Tretinoin Cream: Apply once daily at bedtime', 'Doxycycline: 100 mg orally twice daily', 'Isotretinoin: 0.5-1 mg/day orally in divided doses']"
Urinary tract infection,"['Nitrofurantoin: 100 mg orally twice daily for 5 days', 'Trimethoprim/Sulfamethoxazole: 160/800 mg (one double-strength tablet) orally twice daily for 3 days.', 'Fosfomycin: 3 g orally as a single dose', 'Ciprofloxacin: 500 mg orally twice daily for 7 days (typically reserved for complicated cases)', 'Cephalexin: 500 mg orally every 12 hours for 7 days.']"
Psoriasis,"['Methotrexate: 7.5-25 mg orally once weekly', 'Cyclosporine: 2.5-5 mg/kg/day orally in divided doses.', 'Apremilast: 30 mg orally twice daily', 'Adalimumab: 80 mg subcutaneously initially, followed by 40 mg every other week', 'Etanercept: 50 mg subcutaneously twice weekly for 12 weeks, then 50 mg once weekly']"
Impetigo,"['Mupirocin Ointment: Apply topically three times daily for 5 days.', 'Retapamulin Ointment: Apply topically twice daily for 5 days.', 'Cephalexin: 500 mg orally every 6 hours for 7 days.', 'Dicloxacillin: 500 mg orally every 6 hours for 7 days', 'Clindamycin: 300 mg orally every 6 hours for 7 days']"
